docname,topic,proportion
comments.json:1071,000,1.0
comments.json:1106,007,1.0
comments.json:1141,002,1.0
comments.json:1176,000,1.0
comments.json:1211,007,1.0
comments.json:27,000,0.690374
comments.json:27,008,0.309626
comments.json:62,000,1.0
comments.json:97,007,1.0
comments.json:132,002,1.0
comments.json:167,000,1.0
comments.json:202,003,1.0
comments.json:237,007,1.0
comments.json:272,000,1.0
comments.json:307,007,1.0
comments.json:342,001,1.0
comments.json:377,008,1.0
comments.json:412,007,1.0
comments.json:447,003,1.0
comments.json:482,007,1.0
comments.json:517,008,1.0
comments.json:552,000,1.0
comments.json:567,007,1.0
comments.json:602,008,1.0
comments.json:637,007,1.0
comments.json:672,002,1.0
comments.json:707,007,1.0
comments.json:742,001,1.0
comments.json:777,007,1.0
comments.json:812,008,1.0
comments.json:847,000,0.663986
comments.json:847,007,0.336014
comments.json:882,008,1.0
comments.json:917,003,1.0
comments.json:952,001,1.0
comments.json:987,008,1.0
comments.json:1022,008,1.0
comments.json:1057,000,1.0
comments.json:1092,008,1.0
comments.json:1127,000,0.595687
comments.json:1127,007,0.249025
comments.json:1127,001,0.155288
comments.json:1162,007,1.0
comments.json:1197,000,0.753109
comments.json:1197,007,0.246891
comments.json:1232,007,1.0
comments.json:0,000,1.0
comments.json:35,000,0.567178
comments.json:35,007,0.432822
comments.json:70,001,1.0
comments.json:105,008,1.0
comments.json:140,000,1.0
comments.json:175,000,0.571059
comments.json:175,008,0.223559
comments.json:175,001,0.116024
comments.json:175,006,0.089357
comments.json:210,000,1.0
comments.json:245,000,1.0
comments.json:280,007,1.0
comments.json:315,000,0.625639
comments.json:315,007,0.374361
comments.json:350,000,1.0
comments.json:385,006,1.0
comments.json:420,007,1.0
comments.json:455,000,0.675319
comments.json:455,007,0.324681
comments.json:490,008,1.0
comments.json:525,000,1.0
comments.json:575,000,0.745214
comments.json:575,007,0.254787
comments.json:610,008,1.0
comments.json:645,000,0.732101
comments.json:645,008,0.100678
comments.json:645,004,0.077817
comments.json:645,007,0.0496
comments.json:645,006,0.039804
comments.json:680,003,1.0
comments.json:715,000,1.0
comments.json:750,000,0.542303
comments.json:750,007,0.178969
